S/N,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
2398,France,2017,Ransomware,Retail,"48,930,000.00","886,212.00",Unknown,Weak Passwords,Encryption,67
2399,Japan,2016,Ransomware,Healthcare,"37,230,000.00","209,358.00",Nation-state,Social Engineering,Firewall,25
2400,Russia,2022,DDoS,Education,"69,240,000.00","495,616.00",Nation-state,Unpatched Software,Antivirus,38
2401,China,2021,SQL Injection,Government,"55,550,000.00","224,311.00",Insider,Zero-day,Firewall,57
2402,Japan,2022,DDoS,IT,"51,950,000.00","65,516.00",Insider,Weak Passwords,Firewall,37
2403,Germany,2024,Ransomware,Government,"40,360,000.00","301,972.00",Unknown,Weak Passwords,VPN,33
2404,Germany,2015,Phishing,Communications,"47,040,000.00","124,250.00",Insider,Zero-day,AI-based Detection,64
2405,USA,2018,Man in the Middle,Healthcare,"22,610,000.00","733,934.00",Nation-state,Zero-day,Firewall,31
2406,Brazil,2022,Malware,IT,"19,260,000.00","377,446.00",Unknown,Zero-day,AI-based Detection,12
2407,China,2021,SQL Injection,IT,"98,570,000.00","430,792.00",Insider,Weak Passwords,Antivirus,9
2408,UK,2015,Malware,IT,"96,790,000.00","825,881.00",Unknown,Zero-day,AI-based Detection,35
2409,USA,2020,Malware,Communications,"27,160,000.00","858,207.00",Nation-state,Unpatched Software,AI-based Detection,42
2410,Germany,2021,Ransomware,Healthcare,"16,640,000.00","912,847.00",Unknown,Weak Passwords,Antivirus,27
2411,UK,2018,Malware,Banking,"41,340,000.00","82,287.00",Unknown,Unpatched Software,Encryption,61
2412,USA,2020,Man in the Middle,Education,"44,850,000.00","527,938.00",Nation-state,Zero-day,Encryption,1
2413,UK,2022,DDoS,Communications,"50,900,000.00","645,154.00",Insider,Weak Passwords,AI-based Detection,16
2414,India,2018,Ransomware,Retail,"26,010,000.00","732,636.00",Hacker Group,Zero-day,VPN,3
2415,Russia,2015,DDoS,Retail,"69,610,000.00","26,321.00",Nation-state,Zero-day,Encryption,11
2416,Germany,2023,Ransomware,Banking,"52,880,000.00","982,507.00",Unknown,Unpatched Software,Encryption,39
2417,Russia,2019,Malware,Retail,"11,570,000.00","367,712.00",Nation-state,Weak Passwords,Firewall,13
2418,Russia,2015,DDoS,Communications,"83,280,000.00","236,346.00",Insider,Unpatched Software,AI-based Detection,55
2419,Australia,2018,SQL Injection,Retail,"51,460,000.00","287,089.00",Nation-state,Weak Passwords,Encryption,8
2420,Brazil,2024,Malware,Healthcare,"50,710,000.00","964,191.00",Unknown,Weak Passwords,VPN,36
2421,China,2016,SQL Injection,Healthcare,"52,680,000.00","55,913.00",Nation-state,Social Engineering,Antivirus,70
2422,Japan,2015,Phishing,Government,"98,290,000.00","850,600.00",Insider,Zero-day,Encryption,17
2423,France,2024,Phishing,Retail,"45,570,000.00","201,137.00",Hacker Group,Zero-day,Antivirus,25
2424,Germany,2017,Malware,Healthcare,"1,680,000.00","859,708.00",Nation-state,Weak Passwords,Encryption,10
2425,Russia,2016,Phishing,Government,"2,740,000.00","863,777.00",Insider,Zero-day,Antivirus,20
2426,Japan,2024,SQL Injection,Banking,"67,370,000.00","521,384.00",Unknown,Social Engineering,Antivirus,32
2427,Russia,2022,SQL Injection,Government,"69,090,000.00","474,183.00",Insider,Weak Passwords,Antivirus,27
2428,Brazil,2018,SQL Injection,Retail,"36,630,000.00","829,742.00",Insider,Unpatched Software,Firewall,57
2429,USA,2021,DDoS,Communications,"99,810,000.00","460,842.00",Unknown,Weak Passwords,AI-based Detection,59
2430,Australia,2022,Malware,Retail,"47,330,000.00","839,881.00",Unknown,Zero-day,Firewall,51
2431,Brazil,2017,DDoS,IT,"72,480,000.00","860,625.00",Unknown,Zero-day,Firewall,4
2432,UK,2019,SQL Injection,Healthcare,"65,470,000.00","263,110.00",Insider,Social Engineering,Firewall,6
2433,Japan,2020,Man in the Middle,IT,"13,610,000.00","506,364.00",Nation-state,Social Engineering,Firewall,66
2434,USA,2021,Phishing,Education,"6,010,000.00","176,772.00",Insider,Unpatched Software,Firewall,6
2435,Brazil,2021,SQL Injection,Retail,"1,320,000.00","564,277.00",Nation-state,Weak Passwords,Firewall,1
2436,Australia,2017,Man in the Middle,Retail,"47,970,000.00","36,780.00",Insider,Unpatched Software,AI-based Detection,64
2437,Germany,2021,Ransomware,Retail,"46,820,000.00","589,744.00",Nation-state,Weak Passwords,VPN,32
2438,Russia,2018,Malware,Government,"59,010,000.00","309,230.00",Hacker Group,Social Engineering,Encryption,61
2439,China,2024,Man in the Middle,Communications,"53,590,000.00","4,913.00",Hacker Group,Weak Passwords,AI-based Detection,61
2440,Brazil,2020,SQL Injection,Education,"50,410,000.00","350,295.00",Insider,Unpatched Software,Encryption,5
2441,USA,2020,DDoS,Banking,"60,200,000.00","998,937.00",Nation-state,Zero-day,Antivirus,19
2442,Brazil,2018,Malware,Communications,"96,220,000.00","445,546.00",Nation-state,Weak Passwords,Firewall,45
2443,Brazil,2023,SQL Injection,Healthcare,"7,330,000.00","486,146.00",Insider,Zero-day,Firewall,12
2444,UK,2016,Phishing,Education,"29,490,000.00","466,333.00",Hacker Group,Zero-day,Firewall,51
2445,Japan,2019,Phishing,Government,"73,350,000.00","706,019.00",Nation-state,Zero-day,Encryption,65
2446,UK,2020,DDoS,Retail,"70,030,000.00","971,464.00",Nation-state,Weak Passwords,Firewall,4
2447,India,2015,Man in the Middle,IT,"76,970,000.00","224,983.00",Nation-state,Weak Passwords,AI-based Detection,42
2448,Brazil,2019,Ransomware,Communications,"87,410,000.00","919,425.00",Nation-state,Unpatched Software,Encryption,45
2449,Russia,2023,DDoS,Communications,"57,250,000.00","115,138.00",Unknown,Unpatched Software,Encryption,42
2450,Japan,2020,Phishing,IT,"99,570,000.00","786,468.00",Nation-state,Social Engineering,AI-based Detection,42
2451,India,2023,Phishing,Retail,"5,110,000.00","620,560.00",Hacker Group,Weak Passwords,Antivirus,59
2452,USA,2017,Malware,Government,"56,740,000.00","976,007.00",Insider,Social Engineering,Encryption,59
2453,France,2016,DDoS,Education,"46,580,000.00","361,163.00",Hacker Group,Zero-day,Firewall,38
2454,Brazil,2017,Ransomware,Healthcare,"54,780,000.00","469,735.00",Nation-state,Zero-day,Encryption,57
2455,USA,2015,Man in the Middle,IT,"46,270,000.00","117,231.00",Unknown,Unpatched Software,AI-based Detection,28
2456,Germany,2018,Ransomware,Healthcare,"14,380,000.00","276,925.00",Unknown,Unpatched Software,VPN,54
2457,Australia,2019,Malware,Communications,"37,300,000.00","208,089.00",Unknown,Zero-day,Antivirus,33
2458,Australia,2016,Phishing,Communications,"63,810,000.00","71,720.00",Hacker Group,Zero-day,Encryption,21
2459,Russia,2024,Ransomware,Communications,"35,620,000.00","236,676.00",Nation-state,Social Engineering,AI-based Detection,67
2460,India,2024,Man in the Middle,Communications,"93,460,000.00","409,281.00",Nation-state,Weak Passwords,Antivirus,18
2461,Japan,2023,Phishing,Banking,"82,360,000.00","612,815.00",Insider,Zero-day,Antivirus,12
2462,Russia,2018,SQL Injection,Communications,"11,320,000.00","153,618.00",Nation-state,Weak Passwords,VPN,29
2463,India,2023,Ransomware,Banking,"57,150,000.00","704,230.00",Nation-state,Zero-day,VPN,71
2464,China,2019,Malware,Retail,"79,370,000.00","863,510.00",Hacker Group,Weak Passwords,VPN,2
2465,India,2024,DDoS,Healthcare,"4,080,000.00","488,599.00",Unknown,Social Engineering,Encryption,11
2466,France,2022,Ransomware,Healthcare,"80,730,000.00","964,782.00",Unknown,Weak Passwords,VPN,47
2467,Germany,2018,Man in the Middle,IT,"48,960,000.00","323,027.00",Unknown,Unpatched Software,Encryption,49
2468,China,2023,Man in the Middle,Education,"10,550,000.00","12,970.00",Unknown,Social Engineering,Antivirus,32
2469,India,2020,Man in the Middle,Government,"50,190,000.00","659,835.00",Unknown,Zero-day,Encryption,46
2470,China,2023,SQL Injection,Communications,"66,920,000.00","336,320.00",Hacker Group,Social Engineering,VPN,51
2471,China,2017,Man in the Middle,Banking,"47,520,000.00","83,617.00",Insider,Unpatched Software,AI-based Detection,64
2472,Brazil,2018,Malware,Banking,"87,130,000.00","99,178.00",Nation-state,Unpatched Software,Antivirus,27
2473,Brazil,2024,Ransomware,Education,"80,100,000.00","489,369.00",Nation-state,Unpatched Software,Encryption,41
2474,Russia,2017,Phishing,Communications,"2,220,000.00","620,350.00",Hacker Group,Zero-day,Firewall,45
2475,USA,2020,DDoS,Healthcare,"38,140,000.00","846,602.00",Insider,Weak Passwords,Firewall,31
2476,India,2017,Malware,Government,"61,020,000.00","650,042.00",Nation-state,Unpatched Software,Antivirus,48
2477,Japan,2019,Man in the Middle,Government,"61,010,000.00","549,197.00",Hacker Group,Social Engineering,Antivirus,59
2478,France,2023,Phishing,IT,"15,490,000.00","138,639.00",Hacker Group,Unpatched Software,VPN,14
2479,Australia,2024,Man in the Middle,Healthcare,"93,400,000.00","833,819.00",Insider,Unpatched Software,Antivirus,14
2480,India,2022,Malware,Retail,"13,880,000.00","813,217.00",Insider,Zero-day,AI-based Detection,71
2481,UK,2017,Malware,Banking,"11,250,000.00","636,273.00",Insider,Zero-day,Antivirus,30
2482,Russia,2017,Man in the Middle,Banking,"66,530,000.00","45,277.00",Insider,Social Engineering,Firewall,43
2483,Australia,2015,Phishing,Communications,"89,410,000.00","488,342.00",Hacker Group,Unpatched Software,Firewall,23
2484,France,2019,Phishing,IT,"55,310,000.00","526,220.00",Nation-state,Social Engineering,AI-based Detection,2
2485,USA,2023,DDoS,Education,"90,380,000.00","311,596.00",Insider,Weak Passwords,VPN,23
2486,Brazil,2024,DDoS,Retail,"25,170,000.00","658,226.00",Insider,Weak Passwords,VPN,52
2487,India,2019,Phishing,Education,"6,290,000.00","344,693.00",Hacker Group,Social Engineering,Encryption,19
2488,France,2016,Phishing,Education,"37,570,000.00","380,995.00",Unknown,Weak Passwords,VPN,60
2489,Brazil,2018,Malware,Banking,"3,100,000.00","458,185.00",Insider,Social Engineering,AI-based Detection,31
2490,Brazil,2022,Man in the Middle,Education,"91,690,000.00","581,034.00",Insider,Social Engineering,VPN,67
2491,Russia,2019,Ransomware,Retail,"19,970,000.00","722,544.00",Hacker Group,Social Engineering,Encryption,14
2492,Brazil,2024,Phishing,IT,"28,780,000.00","793,783.00",Insider,Social Engineering,Firewall,17
2493,China,2023,SQL Injection,IT,"53,210,000.00","620,822.00",Unknown,Zero-day,Firewall,21
2494,Russia,2022,Ransomware,Healthcare,"16,600,000.00","715,102.00",Insider,Zero-day,Antivirus,2
2495,Russia,2021,Man in the Middle,Banking,"44,320,000.00","634,390.00",Unknown,Zero-day,Antivirus,54
2496,Japan,2021,Ransomware,Government,"10,340,000.00","791,473.00",Nation-state,Weak Passwords,Firewall,58
2497,China,2022,Phishing,IT,"41,810,000.00","631,816.00",Unknown,Weak Passwords,Firewall,29
2498,Germany,2016,Malware,Banking,"84,540,000.00","517,353.00",Nation-state,Social Engineering,Antivirus,41
2499,Japan,2015,Malware,Communications,"40,380,000.00","118,734.00",Insider,Unpatched Software,AI-based Detection,21
2500,India,2020,Man in the Middle,Education,"39,150,000.00","963,367.00",Insider,Zero-day,Encryption,50
2501,Australia,2021,SQL Injection,Communications,"22,510,000.00","71,557.00",Insider,Social Engineering,Antivirus,47
2502,Brazil,2017,Ransomware,Government,"58,180,000.00","824,704.00",Hacker Group,Zero-day,Antivirus,30
2503,Germany,2023,Man in the Middle,Banking,"92,480,000.00","1,326.00",Nation-state,Social Engineering,Antivirus,11
2504,UK,2015,Phishing,Banking,"51,380,000.00","630,931.00",Insider,Zero-day,AI-based Detection,48
2505,Germany,2016,Phishing,Government,"93,610,000.00","395,731.00",Insider,Unpatched Software,AI-based Detection,64
2506,Australia,2017,Ransomware,Government,"27,380,000.00","918,816.00",Unknown,Weak Passwords,AI-based Detection,58
2507,Australia,2021,Malware,Healthcare,"74,610,000.00","357,205.00",Nation-state,Weak Passwords,Antivirus,21
2508,UK,2019,SQL Injection,IT,"78,840,000.00","464,960.00",Unknown,Unpatched Software,Encryption,24
2509,USA,2019,Ransomware,Communications,"65,700,000.00","51,619.00",Insider,Unpatched Software,VPN,3
2510,Brazil,2017,Phishing,IT,"81,040,000.00","850,794.00",Unknown,Social Engineering,Antivirus,69
2511,France,2015,Man in the Middle,Banking,"27,200,000.00","559,841.00",Nation-state,Unpatched Software,VPN,22
2512,China,2018,DDoS,Healthcare,"86,380,000.00","685,136.00",Nation-state,Weak Passwords,Antivirus,62
2513,Brazil,2016,Malware,Education,"83,930,000.00","102,797.00",Unknown,Weak Passwords,Firewall,17
2514,France,2022,Ransomware,Healthcare,"40,360,000.00","439,046.00",Insider,Social Engineering,VPN,42
2515,USA,2019,SQL Injection,Communications,"57,400,000.00","51,312.00",Insider,Social Engineering,AI-based Detection,26
2516,Brazil,2022,Ransomware,Retail,"1,420,000.00","510,870.00",Unknown,Unpatched Software,AI-based Detection,35
2517,Russia,2021,SQL Injection,Government,"66,500,000.00","348,118.00",Hacker Group,Zero-day,VPN,42
2518,Australia,2016,Ransomware,Healthcare,"47,180,000.00","509,930.00",Unknown,Social Engineering,AI-based Detection,68
2519,UK,2016,Ransomware,IT,"58,990,000.00","822,380.00",Hacker Group,Zero-day,Firewall,26
2520,Germany,2022,SQL Injection,Banking,"52,910,000.00","619,669.00",Unknown,Unpatched Software,Antivirus,19
2521,Australia,2023,SQL Injection,Communications,"20,950,000.00","341,111.00",Insider,Weak Passwords,VPN,14
2522,France,2018,Ransomware,Government,"2,790,000.00","443,730.00",Hacker Group,Weak Passwords,Antivirus,39
2523,Japan,2017,DDoS,IT,"27,760,000.00","824,968.00",Insider,Weak Passwords,Encryption,15
2524,Japan,2016,Man in the Middle,Retail,"58,770,000.00","172,346.00",Nation-state,Social Engineering,AI-based Detection,51
2525,Germany,2022,DDoS,Communications,"51,950,000.00","919,855.00",Hacker Group,Weak Passwords,Antivirus,56
2526,Germany,2021,Man in the Middle,IT,"90,570,000.00","254,634.00",Hacker Group,Social Engineering,AI-based Detection,5
2527,France,2022,Phishing,Retail,"39,150,000.00","724,409.00",Unknown,Weak Passwords,Antivirus,56
2528,UK,2018,Phishing,Healthcare,"95,300,000.00","269,142.00",Unknown,Unpatched Software,Encryption,72
2529,India,2024,Phishing,Retail,"92,480,000.00","32,067.00",Insider,Unpatched Software,Antivirus,19
2530,Germany,2020,Malware,Government,"32,200,000.00","591,314.00",Hacker Group,Weak Passwords,Encryption,65
2531,Germany,2019,SQL Injection,Healthcare,"91,720,000.00","149,171.00",Hacker Group,Zero-day,VPN,64
2532,Brazil,2016,DDoS,IT,"13,520,000.00","535,205.00",Hacker Group,Social Engineering,AI-based Detection,53
2533,Germany,2022,Ransomware,Education,"87,930,000.00","471,889.00",Nation-state,Zero-day,Antivirus,4
2534,France,2019,Phishing,Healthcare,"52,180,000.00","869,751.00",Insider,Zero-day,Firewall,12
2535,Russia,2017,DDoS,Education,"50,420,000.00","690,010.00",Nation-state,Weak Passwords,Firewall,18
2536,Brazil,2017,Ransomware,Healthcare,"32,900,000.00","433,987.00",Unknown,Zero-day,AI-based Detection,21
2537,UK,2017,Phishing,Banking,"1,540,000.00","31,262.00",Unknown,Social Engineering,Firewall,56
2538,Australia,2022,Malware,Retail,"32,260,000.00","824,433.00",Nation-state,Unpatched Software,AI-based Detection,60
2539,Germany,2023,Man in the Middle,Retail,"23,280,000.00","651,963.00",Insider,Unpatched Software,AI-based Detection,53
2540,France,2017,SQL Injection,Education,"81,060,000.00","349,070.00",Unknown,Zero-day,VPN,41
2541,USA,2024,Malware,Communications,"71,420,000.00","967,411.00",Hacker Group,Social Engineering,AI-based Detection,47
2542,Japan,2021,SQL Injection,Retail,"64,810,000.00","263,770.00",Unknown,Social Engineering,Antivirus,62
2543,UK,2016,Phishing,Retail,"85,890,000.00","714,670.00",Hacker Group,Weak Passwords,VPN,32
2544,USA,2021,DDoS,Communications,"47,840,000.00","498,904.00",Hacker Group,Zero-day,Antivirus,65
2545,USA,2024,Phishing,Education,"47,950,000.00","569,539.00",Unknown,Weak Passwords,Encryption,18
2546,China,2016,Man in the Middle,Retail,"82,520,000.00","217,938.00",Nation-state,Weak Passwords,VPN,69
2547,China,2022,Ransomware,Retail,"36,480,000.00","172,607.00",Unknown,Zero-day,VPN,60
2548,India,2023,Man in the Middle,Retail,"95,660,000.00","424,762.00",Insider,Unpatched Software,VPN,10
2549,Japan,2019,Man in the Middle,IT,"42,340,000.00","130,309.00",Insider,Zero-day,AI-based Detection,56
2550,India,2018,DDoS,Government,"65,110,000.00","95,378.00",Insider,Social Engineering,Antivirus,67
2551,India,2017,Phishing,IT,"53,950,000.00","920,801.00",Nation-state,Zero-day,Antivirus,52
2552,Japan,2020,Man in the Middle,Retail,"91,360,000.00","551,038.00",Insider,Social Engineering,Firewall,21
2553,China,2016,Malware,Communications,"85,800,000.00","962,508.00",Unknown,Social Engineering,AI-based Detection,13
2554,France,2020,Malware,Healthcare,"92,290,000.00","267,554.00",Hacker Group,Social Engineering,Firewall,45
2555,Japan,2020,Ransomware,IT,"25,300,000.00","76,258.00",Unknown,Social Engineering,VPN,43
2556,Russia,2016,Malware,Banking,"3,600,000.00","661,377.00",Hacker Group,Weak Passwords,Antivirus,66
2557,Australia,2022,SQL Injection,Retail,"56,620,000.00","310,341.00",Unknown,Weak Passwords,Encryption,32
2558,Russia,2017,Phishing,Education,"66,250,000.00","702,883.00",Insider,Unpatched Software,VPN,31
2559,USA,2017,Malware,Education,"78,380,000.00","516,103.00",Hacker Group,Unpatched Software,Firewall,62
2560,USA,2015,Malware,Retail,"84,700,000.00","542,283.00",Hacker Group,Social Engineering,Firewall,64
2561,Russia,2016,SQL Injection,Government,"43,750,000.00","173,441.00",Hacker Group,Social Engineering,Antivirus,43
2562,France,2017,DDoS,Retail,"67,360,000.00","856,228.00",Hacker Group,Zero-day,Encryption,47
2563,UK,2019,Malware,IT,"68,540,000.00","791,265.00",Hacker Group,Social Engineering,Firewall,65
2564,USA,2019,Malware,Retail,"45,420,000.00","969,699.00",Hacker Group,Social Engineering,Firewall,63
2565,Russia,2023,Malware,Communications,"95,000,000.00","338,867.00",Nation-state,Unpatched Software,AI-based Detection,34
2566,Japan,2018,Ransomware,Government,"44,980,000.00","951,249.00",Hacker Group,Weak Passwords,VPN,25
2567,USA,2022,Ransomware,IT,"50,400,000.00","34,584.00",Insider,Zero-day,Firewall,43
2568,Brazil,2021,Malware,Education,"74,370,000.00","298,836.00",Hacker Group,Social Engineering,Encryption,29
2569,Brazil,2018,Malware,Retail,"27,820,000.00","526,161.00",Unknown,Unpatched Software,AI-based Detection,12
2570,Brazil,2020,Phishing,Government,"76,950,000.00","476,308.00",Insider,Social Engineering,VPN,44
2571,China,2017,SQL Injection,Banking,"29,390,000.00","206,897.00",Unknown,Zero-day,Encryption,18
2572,Japan,2022,Malware,IT,"1,920,000.00","2,653.00",Nation-state,Unpatched Software,AI-based Detection,56
2573,UK,2024,Ransomware,Healthcare,"90,370,000.00","540,353.00",Hacker Group,Unpatched Software,Antivirus,68
2574,Germany,2015,Phishing,Retail,"84,770,000.00","779,922.00",Nation-state,Zero-day,Antivirus,50
2575,Germany,2016,Ransomware,Education,"24,400,000.00","908,906.00",Hacker Group,Weak Passwords,AI-based Detection,46
2576,Russia,2021,Man in the Middle,Healthcare,"28,340,000.00","446,741.00",Nation-state,Weak Passwords,Firewall,20
2577,India,2023,Phishing,Education,"9,950,000.00","317,488.00",Insider,Social Engineering,VPN,46
2578,Brazil,2024,Phishing,IT,"72,330,000.00","182,613.00",Unknown,Unpatched Software,AI-based Detection,26
2579,UK,2018,Ransomware,IT,"61,420,000.00","211,305.00",Hacker Group,Zero-day,Encryption,27
2580,UK,2024,DDoS,Government,"68,830,000.00","60,379.00",Hacker Group,Unpatched Software,Firewall,32
2581,Russia,2020,Ransomware,Healthcare,"11,110,000.00","785,179.00",Unknown,Weak Passwords,VPN,2
2582,Russia,2022,SQL Injection,Communications,"1,990,000.00","652,682.00",Insider,Social Engineering,Encryption,46
2583,Brazil,2022,SQL Injection,Banking,"5,850,000.00","52,649.00",Nation-state,Unpatched Software,Encryption,57
2584,Germany,2024,Man in the Middle,Government,"45,750,000.00","865,871.00",Insider,Weak Passwords,Antivirus,58
2585,Russia,2022,DDoS,Retail,"93,710,000.00","474,552.00",Nation-state,Zero-day,Encryption,20
2586,France,2024,SQL Injection,Healthcare,"5,700,000.00","400,840.00",Insider,Social Engineering,VPN,57
2587,USA,2020,Phishing,Education,"60,570,000.00","275,819.00",Nation-state,Social Engineering,Firewall,69
2588,Brazil,2021,DDoS,Retail,"89,790,000.00","454,088.00",Hacker Group,Social Engineering,VPN,70
2589,France,2018,Phishing,Government,"30,680,000.00","338,619.00",Hacker Group,Unpatched Software,Antivirus,68
2590,Brazil,2018,Malware,Banking,"31,560,000.00","940,038.00",Hacker Group,Zero-day,Antivirus,24
2591,USA,2017,DDoS,Government,"98,730,000.00","17,805.00",Nation-state,Weak Passwords,Antivirus,31
2592,Japan,2020,SQL Injection,Communications,"92,130,000.00","244,933.00",Nation-state,Social Engineering,AI-based Detection,37
2593,USA,2016,Phishing,Retail,"71,140,000.00","198,602.00",Unknown,Zero-day,Firewall,18
2594,India,2023,DDoS,Retail,"73,850,000.00","504,861.00",Unknown,Weak Passwords,Antivirus,65
2595,UK,2016,Malware,Communications,"91,240,000.00","695,618.00",Nation-state,Social Engineering,Antivirus,14
2596,China,2022,Man in the Middle,Healthcare,"5,400,000.00","270,732.00",Unknown,Weak Passwords,Firewall,31
2597,UK,2015,Phishing,Retail,"77,580,000.00","270,326.00",Nation-state,Social Engineering,Firewall,24
2598,Russia,2017,Man in the Middle,Government,"80,950,000.00","827,534.00",Hacker Group,Unpatched Software,Firewall,29
2599,Germany,2020,Man in the Middle,Retail,"46,070,000.00","32,499.00",Insider,Zero-day,Firewall,14
2600,Russia,2016,Malware,Communications,"52,200,000.00","279,065.00",Hacker Group,Unpatched Software,VPN,62
2601,Germany,2017,Ransomware,Communications,"49,560,000.00","119,598.00",Insider,Unpatched Software,Encryption,43
2602,Germany,2016,SQL Injection,Education,"61,780,000.00","387,500.00",Nation-state,Weak Passwords,AI-based Detection,30
2603,Brazil,2018,Phishing,Education,"66,070,000.00","656,031.00",Nation-state,Social Engineering,Encryption,36
2604,China,2022,Ransomware,Education,"85,720,000.00","637,259.00",Unknown,Zero-day,VPN,57
2605,Russia,2023,SQL Injection,Education,"980,000.00","623,106.00",Nation-state,Weak Passwords,Firewall,43
2606,India,2015,DDoS,Education,"21,740,000.00","513,867.00",Unknown,Zero-day,Firewall,34
2607,Australia,2023,Man in the Middle,Healthcare,"7,540,000.00","710,871.00",Insider,Zero-day,Firewall,55
2608,India,2020,Malware,Healthcare,"7,080,000.00","875,225.00",Unknown,Zero-day,Antivirus,31
2609,Germany,2024,Malware,Retail,"71,200,000.00","989,625.00",Unknown,Social Engineering,Firewall,53
2610,China,2016,DDoS,Education,"89,080,000.00","210,433.00",Insider,Weak Passwords,AI-based Detection,63
2611,USA,2018,Malware,IT,"26,310,000.00","709,153.00",Hacker Group,Weak Passwords,VPN,45
2612,France,2020,Ransomware,IT,"21,110,000.00","568,832.00",Nation-state,Social Engineering,Firewall,12
2613,China,2022,Phishing,Retail,"51,760,000.00","355,545.00",Unknown,Weak Passwords,Encryption,68
2614,Germany,2019,Phishing,Education,"90,910,000.00","112,635.00",Insider,Weak Passwords,Firewall,55
2615,Brazil,2015,SQL Injection,Banking,"89,390,000.00","988,268.00",Unknown,Zero-day,VPN,44
2616,India,2021,Malware,Education,"65,870,000.00","357,399.00",Nation-state,Zero-day,Encryption,2
2617,Japan,2018,Man in the Middle,Government,"78,160,000.00","512,258.00",Hacker Group,Weak Passwords,Encryption,32
2618,Australia,2024,Ransomware,Healthcare,"24,210,000.00","180,760.00",Nation-state,Weak Passwords,Encryption,34
2619,USA,2023,Man in the Middle,Retail,"81,160,000.00","691,638.00",Unknown,Zero-day,Antivirus,17
2620,Russia,2019,Ransomware,IT,"80,180,000.00","123,757.00",Insider,Social Engineering,Encryption,54
2621,Germany,2018,DDoS,Communications,"70,000,000.00","702,285.00",Hacker Group,Zero-day,AI-based Detection,46
2622,Australia,2022,DDoS,Education,"9,730,000.00","907,708.00",Unknown,Unpatched Software,AI-based Detection,44
2623,Australia,2015,DDoS,Healthcare,"4,490,000.00","713,160.00",Hacker Group,Unpatched Software,Encryption,26
2624,USA,2022,Malware,Banking,"46,750,000.00","239,200.00",Nation-state,Social Engineering,Encryption,8
2625,China,2016,DDoS,Healthcare,"63,150,000.00","500,521.00",Nation-state,Weak Passwords,Encryption,27
2626,India,2015,Phishing,IT,"25,470,000.00","741,259.00",Hacker Group,Unpatched Software,Antivirus,18
2627,Japan,2021,SQL Injection,Education,"3,970,000.00","604,843.00",Insider,Unpatched Software,AI-based Detection,40
2628,UK,2023,SQL Injection,Education,"19,170,000.00","697,610.00",Insider,Weak Passwords,Encryption,18
2629,Germany,2022,SQL Injection,IT,"58,350,000.00","730,850.00",Hacker Group,Weak Passwords,AI-based Detection,27
2630,Australia,2018,SQL Injection,IT,"65,080,000.00","417,807.00",Insider,Social Engineering,Firewall,46
2631,India,2020,Malware,Healthcare,"3,740,000.00","58,205.00",Hacker Group,Unpatched Software,Encryption,63
2632,India,2016,SQL Injection,Healthcare,"33,110,000.00","830,670.00",Unknown,Social Engineering,Antivirus,11
2633,Brazil,2024,Ransomware,Government,"57,700,000.00","691,990.00",Insider,Weak Passwords,Antivirus,41
2634,USA,2015,Ransomware,Retail,"74,680,000.00","498,089.00",Insider,Weak Passwords,Encryption,18
2635,China,2015,Ransomware,IT,"86,820,000.00","748,040.00",Insider,Weak Passwords,Firewall,18
2636,Brazil,2018,Ransomware,Healthcare,"4,510,000.00","909,979.00",Nation-state,Social Engineering,VPN,65
2637,Australia,2019,Man in the Middle,Banking,"27,000,000.00","286,038.00",Nation-state,Social Engineering,Encryption,43
2638,Russia,2021,SQL Injection,Retail,"82,880,000.00","479,586.00",Insider,Zero-day,AI-based Detection,8
2639,Australia,2020,Phishing,Banking,"42,030,000.00","454,763.00",Hacker Group,Social Engineering,Firewall,14
2640,UK,2019,Phishing,Communications,"33,850,000.00","60,183.00",Nation-state,Unpatched Software,AI-based Detection,17
2641,Russia,2018,Phishing,Education,"94,600,000.00","596,801.00",Nation-state,Weak Passwords,Antivirus,70
2642,China,2021,Ransomware,IT,"71,900,000.00","698,786.00",Hacker Group,Zero-day,Antivirus,21
2643,Japan,2021,DDoS,Communications,"94,230,000.00","441,749.00",Nation-state,Unpatched Software,AI-based Detection,55
2644,China,2018,SQL Injection,Healthcare,"76,400,000.00","966,102.00",Hacker Group,Social Engineering,Firewall,1
2645,India,2017,Malware,Healthcare,"66,290,000.00","430,200.00",Unknown,Zero-day,Antivirus,48
2646,UK,2023,Ransomware,Banking,"49,890,000.00","638,668.00",Nation-state,Social Engineering,Encryption,47
2647,UK,2019,DDoS,Healthcare,"81,910,000.00","127,817.00",Nation-state,Weak Passwords,Antivirus,66
2648,Brazil,2017,Man in the Middle,Government,"14,540,000.00","491,794.00",Nation-state,Zero-day,Encryption,4
2649,Germany,2024,Ransomware,IT,"33,440,000.00","737,958.00",Hacker Group,Social Engineering,Encryption,54
2650,Australia,2017,DDoS,Education,"31,740,000.00","724,207.00",Hacker Group,Weak Passwords,Firewall,54
2651,Germany,2018,SQL Injection,Healthcare,"78,110,000.00","451,780.00",Hacker Group,Unpatched Software,VPN,28
2652,India,2016,Man in the Middle,Healthcare,"8,250,000.00","875,227.00",Unknown,Zero-day,AI-based Detection,20
